Name,Cost,Attack,Health,Rarity,Height,thumbs,Gender,Fico,Looks,Pasta,Reading Level,Abilities,Type,description_a,description_b
Tasty Fish,1,1,1,Common,9 in,0,F,50,1/10,4,1st Grade,Deathrattle:  Restore 3 health to your hero,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a fish, short, ugly, broke, ghostly aura, named Tasty Fish. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a fish, short, ugly, broke, ghostly aura, named Tasty Fish, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Skinny Elf,1,1,2,Common,5ft 9,2,M,620,7/10,1,9th Grade,,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, named Skinny Elf. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, named Skinny Elf, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Greedy Dwarf,1,1,1,Rare,3ft 6,2,M,760,5/10,5,8th Grade,Survivor:  Draw a card,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, short, wealthy, battle-scarred but standing, named Greedy Dwarf. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, short, wealthy, battle-scarred but standing, named Greedy Dwarf, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Eager Squire,1,1,1,Common,5ft 1,2,M,510,6/10,4,6th Grade,Shield Wall 1,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, broke, heavily armored, named Eager Squire. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, broke, heavily armored, named Eager Squire, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Sinister Spy,1,1,1,Rare,5ft 6 in,2,F,650,8/10,1,3rd Grade,Battle Cry:  Reveal your opponents Hand,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a female, attractive, glowing with energy, named Sinister Spy. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a female, attractive, glowing with energy, named Sinister Spy, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Weird Fish,1,1,1,Legendary,1ft 8in,0,F,10,1/10,1,1st Grade,Flash:  Reverse the stack,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a fish, short, ugly, broke, crackling with lightning, named Weird Fish. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a fish, short, ugly, broke, crackling with lightning, named Weird Fish, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Mean Bear,2,1,3,Common,7ft 2in,0,F,410,5/10,6,1st Grade,Enrage:  +2 Attack,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a bear, tall, broke, in a furious rage, named Mean Bear. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a bear, tall, broke, in a furious rage, named Mean Bear, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Big Bear,2,1,4,Common,7ft 10in,0,M,310,6/10,10,1st Grade,,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a bear, tall, broke, named Big Bear. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a bear, tall, broke, named Big Bear, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Horny Frog,2,1,2,Common,1ft 3 in,0,F,10,3/10,1,1st Grade,Counterstrike,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a frog, short, ugly, broke, in a counter-attack stance, named Horny Frog. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a frog, short, ugly, broke, in a counter-attack stance, named Horny Frog, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Ugly Cow,2,1,3,Common,5ft 2 in,0,F,20,1/10,2,2nd Grade,Survivor:  Restore 3 health to your hero,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a cow, ugly, broke, battle-scarred but standing, named Ugly Cow. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a cow, ugly, broke, battle-scarred but standing, named Ugly Cow, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
